address,zip,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,LotLot,Price Square FeetPrice/sqft,Rent,Mortgage fees per month,Mortgage fees per year,Walk Score,School Rank,Violent Crime,Property Crime
"3319 4th Ave, Sioux City, IA 51106",51106,Single Family Residence Residential,1918,Forced Air,Central Air,2,,6098,166,,271,3251,48,65,4091,3890
"4806 435th Ave, Preston, IA 52069",52069,Single Family Residence,2004,Propane Tank - Owned,Central Air,,,281398,189,,1031,12368,7,,,
"1101 11th St, Sioux City, IA 51105",51105,Multi Family,1880,,,3,,,57,,319,3825,59,125,3890,3890
"1021 S 12th St, Burlington, IA 52601",52601,Single Family Residence,1900,Forced Air,Central Air,1,,5662,52,,189,2270,60,153,,
"784 Mission Point Rd, Iowa City, IA 52245",52245,Single Family Residence,2009,Forced Air Natural Gas,Ceiling Fan(s) Central Air,3,,15682,212,,1169,14025,17,27,3890,1618
"2428 Evergreen Ave, State Center, IA 50247",50247,LOT,,,,,29,,,,117,1402,0,,,
"1136 Briarcliff Ln, Clinton, IA 52732",52732,Single Family Residence,1963,Natural Gas Forced Air,,,,7013,88,,166,1986,41,101,1618,3647
"2821 W Court Lot #13, Parnell, IA 52325",52325,,,,,,,,,,,,22,,,
"400 W Sunset Rd, Jefferson, IA 50129",50129,Single Family Residence,1949,Forced Air,Central Air,1,,25265,63,,285,3417,12,151,,
"1009 Division St, Boone, IA 50036",50036,Single Family Residence,1880,Forced Air Gas Natural Gas,,,,10890,156,,361,4332,32,123,3647,1133
"216 S 4th St, Winterset, IA 50273",50273,Single Family Residence,1981,Forced Air Gas Natural Gas,Window Unit(s),3,,6969,205,,372,4462,74,117,,
"1664 S 49th St, West Des Moines, IA 50265",50265,Single Family Residence,2001,Forced Air Gas Natural Gas,Central Air,4,,31799,228,,1700,20400,0,34,,
"1014 3rd St, Princeton, IA 52768",52768,Single Family Residence,1973,Electric Natural Gas Baseboard,Central Air,,,17860,144,,605,7265,15,118,,
"2469 1st St SW, Cedar Rapids, IA 52404",52404,Single Family Residence,1963,Forced Air Hot Water,Central Air,2,,6969,96,,340,4080,0,106,1133,3336
"1753 W 55th St, Davenport, IA 52806",52806,Single Family Residence,1971,Natural Gas Forced Air,Central Air,,,6969,132,,340,4080,54,99,3336,3827
"10224 Powell Ave, Johnston, IA 50131",10224,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,150,8276,277,,842,10109,6,,3827,1198
"1713 SW Westview Dr, Ankeny, IA 50023",50023,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,2,150,9583,206,,765,9180,50,15,,
"1006 3rd St, Jewell, IA 50130",50130,SINGLE_FAMILY,2001,Forced air Gas,Other,2,,13068,118,,563,6758,18,,,
"1124 Tennyson Ave, Stratford, IA 50249",50249,Single Family Residence,1910,Forced Air,Central Air,2,,14810,68,,253,3034,31,,,
"810 4th St, Harlan, IA 51537",51537,Single Family Residence,1946,Forced Air,Central Air,,,4791,47,,149,1782,44,54,,
"2305 Exchange St, Keokuk, IA 52632",52632,Single Family Residence,2002,Forced Air,Central Air,,,13939,67,,382,4590,52,155,,
"1615 W 30th St, Sioux City, IA 51103",51103,Single Family Residence Residential,1920,Forced Air,Central Air,,,6250,94,,212,2547,40,150,1198,3890
"308 Franklin Ave, Mechanicsville, IA 52306",52306,Single Family Residence,1998,Forced Air Gas,Central Air,2,,58370,96,,457,5482,0,,,
"1602 N Pennsylvania Ave, Mason City, IA 50401",50401,SINGLE_FAMILY,1952,Forced air,,2,,5401,70,,201,2410,28,149,3890,2925
"622 N 21st St, Fort Dodge, IA 50501",50501,SINGLE_FAMILY,1951,Forced air Gas,Central,1,,5662,135,,319,3822,48,157,2925,3020
"2875 Serenity Dr, Waukee, IA 50263",50263,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,,11326,306,,1009,12113,1,8,3020,759
"809 Wood St, Webster City, IA 50595",50595,Single Family Residence,1963,Forced Air,Central Air,2,,6534,89,,233,2792,46,82,759,1093
"6948 Crossing Ct, Bettendorf, IA 52722",52722,Single Family Residence,2020,Natural Gas Forced Air,,,,10890,246,,977,11729,0,4,1093,1282
"1000 McIntosh Dr NE, Bondurant, IA 50035",50035,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,100,13068,250,,793,9520,42,64,,
"2761 Teresa Dr SW, Cedar Rapids, IA 52404",52404,Single Family Residence,1961,Forced Air Gas,Central Air,2,,9583,72,,266,3188,28,106,1282,3336
"4005 Aldrin Ave, Ames, IA 50014",50014,TOWNHOUSE,2021,,,2,17,5751,247,,781,9371,6,52,3336,1716
"1806 Monroe St, Emmetsburg, IA 50536",50536,Single Family Residence,1930,Gas Natural Gas,Central Air,1,,17424,113,,202,2422,44,103,,
"23445 Opal Ave, Bloomfield, IA 52537",23445,Single Family Residence,1920,Forced Air,Central Air Window Unit(s),2,,108029,70,,297,3567,0,,,
"4108 Jackson Cir NW, Cedar Rapids, IA 52405",52405,Single Family Residence,1996,Forced Air Gas,Central Air,2,,8276,185,,425,5100,9,105,1716,3336
"206 S Eliza St, Maquoketa, IA 52060",52060,SINGLE FAMILY - DETACHED,1880,Forced Air,Central Air,1,,12632,33,,147,1760,58,131,3336,2311
"3606 SW 38th St, Des Moines, IA 50321",50321,Single Family Residence,1990,Gas Natural Gas,Central Air,2,,26572,168,,834,10009,7,67,2311,4091
"142 Aspen Dr, Norwalk, IA 50211",50211,,,,,,,,,,,,25,59,4091,750
"751 Grant St, Iowa City, IA 52240",52240,Single Family Residence,1920,Electric Natural Gas Zoned,Electric Ceiling Fan(s) Central Air,1,,6098,161,,584,7012,34,40,750,1618
"311 4th Ave, Grinnell, IA 50112",50112,Single Family Residence,1900,Hot Water,Central Air,2,,12197,71,,367,4399,66,63,1618,1789
"1701 S Park Ave, Oskaloosa, IA 52577",52577,Single Family Residence,1941,Forced Air,Central Air,3,,86684,92,,975,11704,15,139,1789,1787
"941 27th St, Spirit Lake, IA 51360",51360,Single Family Residence,1978,Forced Air,Central Air,2,,10018,158,,635,7624,40,86,1787,1413
"812 Lake Rd, Ottumwa, IA 52501",52501,Single Family Residence,1920,Forced Air,Central Air,1,,522720,201,,478,5738,4,36,1413,4120
"4406 Ross Rd, Ames, IA 50014",50014,Single Family Residence,1966,Forced Air Gas Natural Gas,,1,,8276,240,,465,5584,0,52,4120,1716
"619 19th Ave N, Clinton, IA 52732",52732,Single Family Residence,1889,Natural Gas Forced Air,Central Air,,,21344,75,,287,3442,0,101,1716,3647
"2661 Washington St, Davenport, IA 52804",52804,Single Family Residence,1954,Natural Gas Forced Air,Window Unit(s),,,7590,112,,255,3060,42,137,3647,3827
"1819 21st St, Des Moines, IA 50310",50310,Single Family Residence,1910,Forced Air Gas,None,,,4356,118,,201,2410,51,38,3827,4091
"4832 Eagle Ct, Davenport, IA 52807",52807,Single Family Residence,2005,Natural Gas Forced Air,Central Air,,,11761,128,,988,11858,40,41,4091,3827
"1005 Grant St S LOT 7, Bondurant, IA 50035",50035,,,,,,,,,,,,0,64,,
"1903 Breese Ave, Muscatine, IA 52761",52761,SINGLE_FAMILY,1984,Other Gas,,2,,139,59,,144,1734,54,126,3827,1343
"2906 SW Reunion Dr, Ankeny, IA 50023",50023,Single Family Residence,2006,Forced Air Gas,Central Air,2,,6098,174,,531,6375,29,15,,
"10969 150th St, Maquoketa, IA 52060",10969,SINGLE FAMILY - DETACHED,1890,Forced Air Other,Central Air,3,,31363,187,,552,6630,0,,1343,2311
"1243 2nd Ave S, Clinton, IA 52732",52732,Single Family Residence,1949,Natural Gas Forced Air,Central Air,,,7797,67,,196,2346,21,101,2311,3647
"930 230th St, Tipton, IA 52772",52772,Single Family Residence,1987,Central Forced Air Natural Gas Propane,Central Air Electric,3,,1078981,203,,1222,14662,0,136,,
"2485 Rookwood Ln, Marion, IA 52302",52302,Condominium,2021,Forced Air Gas,Central Air,3,,,157,,542,6500,3,33,3647,1278
"287 Ray Dr NW, Cedar Rapids, IA 52405",52405,Single Family Residence,1956,Forced Air Gas,Central Air,1,,10454,139,,359,4310,43,105,1278,3336
"1231 Nicholas Ln, North Liberty, IA 52317",52317,,,,,,,,,,,,17,14,3336,602
"1465 Lawrence Ave, Camanche, IA 52730",52730,Single Family Residence,2011,Forced Air,Central Air,,,9583,213,,595,7137,20,152,,
"3001 Vine St, West Des Moines, IA 50265",50265,Single Family Residence,1961,Electric Forced Air,Central Air,2,,9583,199,,528,6337,0,34,,
"7331 NW 21st St, Ankeny, IA 50023",50023,Single Family Residence,1968,Forced Air Gas Natural Gas,Central Air,1,,20038,200,,564,6770,17,15,,
"120 Broad St S, Grinnell, IA 50112",50112,Single Family Residence,2003,Forced Air,Central Air,2,,120226,122,,797,9560,40,63,602,1789
"314 N Ohio Ave, Oxford, IA 52322",52322,,,,,,,,,,,,28,77,,
"24374 County Road L34, Underwood, IA 51576",24374,SINGLE_FAMILY,1996,Electric,,,,,150,,1594,19125,0,,,
"2225 S Florence Ave, Sioux City, IA 51109",51109,Single Family Residence Residential,2021,Forced Air,Central Air,2,,4356,110,,468,5610,13,141,1789,3890
"1476 Primrose Dr SE, Altoona, IA 50009",50009,,,,,,,,,,,,3,75,,
"3179 223rd Ave, Montrose, IA 52639",52639,Single Family Residence,2011,Geothermal,Geothermal,3,,304920,73,,742,8900,0,111,,
"5664 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,134,1606,7,148,3890,4091
"120 SW 5th St UNIT 207, Des Moines, IA 50309",50309,Townhouse,1913,Hot Water Radiant See Remarks,Central Air,,425,,240,,425,5100,88,32,4091,4091
"2629 SE 8th St, Des Moines, IA 50315",50315,Single Family Residence,2010,,Central Air,,,6534,186,,436,5228,0,21,4091,4091
"7 Imperial Ct, Davenport, IA 52807",52807,Single Family Residence,1969,Natural Gas Forced Air,Central Air,,,8652,146,,531,6375,41,41,4091,3827
"1106 N Elm St, Creston, IA 50801",50801,Single Family Residence,1920,Forced Air,Window Unit(s),1,,6534,59,,170,2040,27,131,3827,2107
"4502 N Linwood Ave, Davenport, IA 52806",52806,Single Family Residence,1977,Natural Gas Forced Air,Central Air,,,7840,94,,425,5100,29,99,2107,3827
"1007 Chestnut St, Atlantic, IA 50022",50022,Single Family Residence,1890,Forced Air,Central Air,,,6969,35,,166,1989,64,115,3827,2794
"3118 212th Ave, Montrose, IA 52639",52639,Single Family Residence,2014,Heat Pump,Central Air,4,,261360,215,,797,9562,0,111,,
"237 Windsor Dr NE, Cedar Rapids, IA 52402",52402,Single Family Residence,1967,Gas,Central Air,2,,,132,,420,5036,28,37,2794,3336
"615 Chestnut St, La Porte City, IA 50651",50651,Single Family Residence,1910,Forced Air,Central Air,2,,5227,77,,154,1849,50,,,
"15296 Hawthorn Ct, Clive, IA 50325",15296,SINGLE_FAMILY,1996,Forced air Gas,Central,2,,12632,174,,690,8285,48,,3336,699
"4102 Anna St, Iowa City, IA 52245",52245,Single Family Residence,2022,Forced Air Natural Gas,Ceiling Fan(s) Central Air Electric,3,,,173,,977,11727,13,27,699,1618
"21 Avenue, Charles City, IA 50616",50616,Agriculture,,,,,,,,,0,0,0,153,1618,968
"634 Oakland Dr, Council Bluffs, IA 51503",51503,Single Family Residence,1920,Forced Air Natural Gas,Central Air,1,,6118,84,,302,3621,43,101,968,5845
"403 E 17th St, Des Moines, IA 50316",50316,Single Family Residence,1888,,,,,2178,144,,297,3567,70,127,5845,4091
"1431 NW 78th St, Clive, IA 50325",50325,Single Family Residence,1959,Forced Air Gas Natural Gas,Central Air,3,,31363,199,,552,6630,39,13,4091,699
"14623 Summit Dr, Clive, IA 50325",14623,Single Family Residence,1993,Forced Air Gas Natural Gas,Central Air,2,40,9147,144,,584,7012,23,233,699,699
"7141 SE Vandalia Dr, Pleasant Hill, IA 50327",50327,Single Family Residence,2013,Forced Air Gas Natural Gas,Central Air,2,,55757,275,,850,10197,1,76,,
"1803 Trophy Run Ln, Harpers Ferry, IA 52146",52146,Single Family Residence,2005,Floor Furnace,Window Unit(s),,450,282269,131,,335,4016,0,,,
"934 934 936B N Boston Way, Coralville, IA 52241",52241,Multi Family,1989,Natural Gas Forced Air,Electric Central Air,,,,214,,1530,18360,0,11,699,3127
"2511 New Lexington Dr, Bettendorf, IA 52722",52722,Single Family Residence,1974,Natural Gas Forced Air,Central Air,,,9350,150,,478,5738,28,4,3127,1282
"3477 Montgomery Cir, Marion, IA 52302",52302,Single Family Residence,2017,Forced Air,Central Air,3,,11761,138,,722,8670,0,33,1282,1278
"135 5th St N, Winthrop, IA 50682",50682,Single Family Residence,1966,Forced Air,Central Air,1,,6446,64,,287,3440,40,,,
"515 NW Country Club Ln, Ankeny, IA 50023",50023,Townhouse,2007,Forced Air Gas Natural Gas,Central Air,3,215,3484,221,,841,10095,12,15,,
"135 SE Baytree Dr, Waukee, IA 50263",50263,Single Family Residence,2009,Forced Air Gas Natural Gas,Central Air,2,,9147,188,,584,7010,9,8,1278,759
"4312 Woodland Ave, West Des Moines, IA 50266",50266,Townhouse,1981,Forced Air Gas Natural Gas,Central Air,2,200,3049,203,,457,5482,30,12,,
"1727 Hilton Rd, Keokuk, IA 52632",52632,Single Family Residence,2007,Geothermal,Central Air,3,,94090,69,,563,6758,4,155,,
"508 W Main St, Agency, IA 52530",52530,Single Family Residence,2021,Forced Air,Central Air,,,8712,134,,313,3761,14,,,
"0 Kalmia Ln, Fairfield, IA 52556",52556,Unimproved Land,,,,,,,,,74,892,70,72,,
"111 Rockvalley Dr SW, Cedar Rapids, IA 52404",52404,Single Family Residence,1992,Forced Air Gas,Central Air,2,,13504,107,,638,7650,0,106,759,3336
"115 Maple St, Lawton, IA 51030",51030,,,,,,,,,,,,21,,,
"3344 W Columbia Ave, Davenport, IA 52804",52804,Single Family Residence,1972,Natural Gas Forced Air,Central Air,,,6534,118,,372,4460,26,137,3336,3827
"1 Shellrock Dr, Northwood, IA 50459",50459,,,,,,,,,,,,53,,,
"1260 Stewart St, Des Moines, IA 50316",50316,Single Family Residence,1913,Forced Air Gas Natural Gas,Central Air,,,5227,178,,372,4462,44,127,3827,4091
"1 63rd Street Dr, Dysart, IA 52224",52224,Farm,,,,,,,,,,,0,,,
"8347 Gretel Ct, Peosta, IA 52068",52068,SINGLE FAMILY - DETACHED,2019,Forced Air,Central Air,3,,26136,180,,1137,13640,8,47,,
"2517 Sherwood Dr, Des Moines, IA 50310",50310,Single Family Residence,1959,Forced Air Gas Natural Gas,Central Air,2,,9147,197,,457,5482,13,38,4091,4091
"2196 230th St, Oskaloosa, IA 52577",52577,Single Family Residence,1974,Other,Central Air,2,,56628,79,,372,4460,7,139,4091,1787
"2000 NW Kelsey Lynn Cir, Grimes, IA 50111",50111,Single Family Residence,2006,Electric Geothermal,Geothermal,4,,20473,231,,1307,15682,46,43,,
"608 Rolling Hills Dr, Tiffin, IA 52340",52340,,,,,,,,,,,,7,104,,
"1106 Byron St, Stratford, IA 50249",50249,Single Family Residence,1915,Forced Air,Central Air,1,,9147,37,,159,1912,29,,,
"3415 Concordia Dr, Sioux City, IA 51104",51104,Single Family Residence Residential,1953,Forced Air,Central Air,1,,6534,135,,298,3570,23,64,1787,3890
"3355 Shiloh Rd, Stratford, IA 50249",50249,Single Family Residence,1978,Forced Air,Central Air,2,,200812,143,,712,8542,0,,,
"3110 Jay Ave, Sioux City, IA 51106",51106,Single Family Residence Residential,1930,Forced Air,Central Air,1,,3484,138,,197,2359,58,65,3890,3890
"4113 Woodside Ct NE, Solon, IA 52333",52333,Single Family Residence,1982,Forced Air Natural Gas,Central Air,,83,108900,205,,1594,19122,0,,,
"715 Maben Ave, Garner, IA 50438",50438,Single Family Residence,1890,Hot Water,Window Unit(s),1,,8712,87,,367,4399,43,72,,
"2412 SE 17th St, Des Moines, IA 50320",50320,Condominium,1979,Forced Air Gas Natural Gas,Central Air,,,,154,,244,2932,26,145,3890,4091
"3007 Oak St, Norwalk, IA 50211",50211,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,150,9583,321,,1037,12450,22,59,4091,750
"765 Brook Ridge Ave, North Liberty, IA 52317",52317,Single Family Residence,2022,Natural Gas Central Forced Air,Electric Central Air,2,115,,163,,595,7137,5,14,750,602
"916 Kirkwood Ave, Des Moines, IA 50315",50315,Single Family Residence,1921,Forced Air Gas Natural Gas,Central Air,1,,6969,181,,276,3315,48,21,602,4091
"520 N 6th St, Carlisle, IA 50047",50047,Single Family Residence,1967,Forced Air Gas Natural Gas,Central Air,2,,10454,198,,425,5097,36,98,,
"136 S 7th St, Council Bluffs, IA 51501",51501,SINGLE_FAMILY,1883,Forced air Gas,Central,,,,38,,351,4208,81,120,4091,5845
"1119 South St, Burlington, IA 52601",52601,Single Family Residence,1926,Forced Air,Central Air,2,,6534,51,,180,2165,61,153,,
"3006 SE Glenstone Dr, Grimes, IA 50111",50111,Townhouse,2015,Forced Air Gas Natural Gas,Central Air,2,180,1306,131,,457,5482,10,43,,
"406 Vine St, Woodburn, IA 50151",50151,Single Family Residence,1900,Forced Air,Central Air,3,,28750,45,,162,1938,7,,,
"1900 50th St APT 14, Des Moines, IA 50310",50310,Townhouse,1971,,,1,245,,102,,185,2218,53,38,5845,4091
"33 Congress Ave, Sioux City, IA 51104",51104,Single Family Residence Residential,1934,Forced Air Fireplace(s),Central Air,1,,6534,44,,170,2039,51,64,4091,3890
"360 S Huston Dr, West Des Moines, IA 50266",50266,Single Family Residence,2011,Forced Air Gas Natural Gas,Central Air,3,360,11326,266,,1031,12368,8,12,,
"633 N 7th St, Centerville, IA 52544",52544,Single Family Residence,1914,Baseboard,None,1,,14810,20,,47,561,46,,3890,2363
"10009 Powell Ave, Johnston, IA 50131",10009,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,3,150,10454,209,,800,9598,6,256,2363,1198
"5652 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,138,1658,7,148,1198,4091
"6150 Thor Ave, Davenport, IA 52807",52807,Single Family Residence,2021,Natural Gas Forced Air,Central Air,,,13939,185,,1147,13767,4,41,4091,3827
"5303 Glen Oaks Way, West Des Moines, IA 50266",50266,TOWNHOUSE,2004,Forced air Gas,Central,2,390,2874,297,,1009,12112,0,12,,
"1726 468th Ave, Clinton, IA 52732",52732,Single Family Residence,1946,Propane,Central Air,,,8276,55,,128,1530,3,101,3827,3647
"River Woods Plat St #1 LOT 23, Booneville, IA 50038",50038,,,,,,,,,,,,0,,,
"501 5th St, Rippey, IA 50235",50235,Single Family Residence,1899,Gas Natural Gas,Window Unit(s),2,,,41,,117,1402,11,,,
"4550 Louie Ln, Central City, IA 52214",52214,Farm,,,,,,,,,1628,19532,4,,,
"2635 S Cleveland St, Sioux City, IA 51106",51106,Single Family Residence Residential,2001,Forced Air,Central Air,2,,5662,107,,550,6604,29,65,3647,3890
"506 C Ave, Armstrong, IA 50514",50514,Single Family Residence,1955,Forced Air,Central Air,1,,6969,65,,127,1527,16,,,
"1506 13th Ave SW, Cedar Rapids, IA 52404",52404,Single Family Residence,1954,Forced Air Gas,Central Air,1,,5227,155,,253,3034,39,106,3890,3336
"1145 McKimber St, Knoxville, IA 50138",50138,Unimproved Land,,,,,,,,,81,969,4,138,,
"107 Prairie St, Raymond, IA 50667",50667,Single Family Residence,1995,Forced Air Natural Gas,Ceiling Fan(s) Central Air,3,,14810,103,,457,5482,0,,,
"600 Oakland Ave, Council Bluffs, IA 51503",51503,SINGLE_FAMILY,1892,Forced air Gas,Central,,,16988,87,,744,8925,57,101,3336,5845
"10 E Lally St, Des Moines, IA 50315",50315,Single Family Residence,1900,Forced Air Gas Natural Gas,Central Air,3,,19166,169,,361,4332,55,21,5845,4091
"2101 Meadow Ct APT 902, Des Moines, IA 50320",50320,Townhouse,2004,Forced Air Gas Natural Gas,Central Air,2,160,,113,,329,3950,4,145,4091,4091
"206 N Locust St, Marcus, IA 51035",51035,Single Family Residence Residential,1889,Forced Air,Central Air,2,,5227,54,,181,2168,48,,,
"1800 Hughes Dr SW, Cedar Rapids, IA 52404",52404,Single Family Residence,2003,Forced Air Natural Gas,Central Air,3,,12632,134,,890,10684,18,106,4091,3336
"906 3rd St, Webster City, IA 50595",50595,Single Family Residence,1910,Forced Air,Central Air,,,6534,48,,149,1782,75,82,3336,1093
"1607 21st Avenue Pl, Coralville, IA 52241",52241,,,,,,,,,,,,55,11,1093,3127
"2813 43rd St, Des Moines, IA 50310",50310,Single Family Residence,1929,Forced Air Gas Natural Gas,Central Air,2,,6969,180,,584,7012,59,38,3127,4091
"209 N Lincoln St, New Sharon, IA 50207",50207,Single Family Residence,1910,Forced Air,Central Air,1,,21780,20,,85,1017,31,,,
"16 Benton Ave E, Albia, IA 52531",52531,Unimproved Land,,,,,,,,,82,982,69,124,,
"14 Red Maple Ct, Central City, IA 52214",52214,,,,,,,,,,,,0,,,
"220 N East St, Osceola, IA 50213",50213,Single Family Residence,1970,Forced Air Gas Natural Gas,Central Air,2,,16553,85,,457,5480,16,142,4091,2393
"506 Bezdek Dr NW, Cedar Rapids, IA 52405",52405,Single Family Residence,1991,Forced Air Gas,Central Air,2,,11761,156,,531,6372,26,105,2393,3336
